LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01000001,City of London 001A,122,268,519,228,97
E01000002,City of London 001B,154,269,481,162,82
E01000003,City of London 001C,137,254,655,291,231
E01000005,City of London 001E,182,127,356,480,274
E01000842,Camden 011A,205,201,353,275,170
E01000843,Camden 014A,323,183,486,483,275
E01000844,Camden 011B,300,171,464,434,154
E01000845,Camden 014B,221,173,350,321,210
E01000846,Camden 014C,408,212,332,620,381
E01000847,Camden 014D,459,189,325,691,413
E01000848,Camden 011C,231,194,396,337,135
E01000849,Camden 011D,216,201,548,376,178
E01000850,Camden 026A,88,141,500,614,578
E01000851,Camden 026B,144,110,653,908,1225
E01000852,Camden 026C,51,156,523,654,1012
E01000853,Camden 025A,267,317,700,658,466
E01000854,Camden 026D,233,145,564,1068,907
E01000855,Camden 028A,56,222,903,503,384
E01000856,Camden 019A,384,109,420,710,544
E01000857,Camden 018A,268,209,314,278,175
E01000858,Camden 018B,423,140,513,786,597
E01000859,Camden 018C,257,192,356,208,142
E01000860,Camden 018D,178,302,520,224,187
E01000861,Camden 019B,215,120,532,481,466
E01000862,Camden 018E,262,246,359,308,177
E01000863,Camden 021A,166,113,486,347,374
E01000864,Camden 015A,234,126,425,409,356
E01000865,Camden 015B,155,114,252,388,687
E01000866,Camden 009A,351,240,576,600,418
E01000867,Camden 015C,330,153,489,656,516
E01000868,Camden 015D,415,89,372,757,416
E01000869,Camden 015E,334,189,599,581,514
E01000870,Camden 009B,313,172,457,429,369
E01000871,Camden 005A,342,182,232,495,329
E01000872,Camden 005B,263,108,594,629,338
E01000873,Camden 005C,276,171,318,307,171
E01000874,Camden 005D,251,210,323,382,182
E01000875,Camden 013A,240,143,557,539,319
E01000876,Camden 013B,348,167,519,733,483
E01000877,Camden 005E,243,152,354,330,232
E01000878,Camden 004A,214,247,188,512,526
E01000879,Camden 004B,263,206,276,286,247
E01000880,Camden 004C,414,194,221,389,141
E01000881,Camden 008A,289,153,336,486,287
E01000882,Camden 008B,259,179,331,289,128
E01000883,Camden 008C,195,161,392,476,260
E01000884,Camden 004D,369,184,151,296,172
E01000885,Camden 004E,313,356,117,360,167
E01000886,Camden 006A,307,170,256,255,191
E01000887,Camden 006B,246,160,385,341,197
E01000888,Camden 006C,355,162,373,363,279
E01000889,Camden 007A,416,176,424,653,497
E01000890,Camden 007B,366,272,545,640,514
E01000891,Camden 007C,388,188,508,684,544
E01000892,Camden 006D,396,247,426,473,292
E01000893,Camden 002A,295,240,313,188,155
E01000894,Camden 002B,279,223,239,220,127
E01000895,Camden 002C,267,291,465,329,165
E01000896,Camden 002D,323,299,300,258,146
E01000897,Camden 008D,334,243,268,328,123
E01000898,Camden 008E,271,200,561,718,284
E01000899,Camden 002E,354,293,181,218,158
E01000900,Camden 012A,356,201,494,503,449
E01000901,Camden 007D,551,127,483,995,729
E01000902,Camden 012B,392,145,398,682,418
E01000903,Camden 006E,223,208,357,373,283
E01000904,Camden 012C,421,217,600,725,531
E01000905,Camden 012D,559,258,581,980,630
E01000906,Camden 012E,168,218,418,345,205
E01000907,Camden 001A,325,163,384,379,325
E01000908,Camden 001B,313,211,492,437,279
E01000909,Camden 001C,289,289,243,258,222
E01000910,Camden 003A,290,230,224,233,181
E01000911,Camden 003B,344,215,334,343,258
E01000912,Camden 001D,297,226,424,362,379
E01000913,Camden 001E,329,333,161,205,151
E01000914,Camden 028B,145,196,713,565,488
E01000915,Camden 027A,319,173,446,772,424
E01000916,Camden 027B,264,147,672,676,435
E01000917,Camden 027C,432,169,713,916,587
E01000918,Camden 028C,239,224,726,785,659
E01000919,Camden 028D,189,143,639,868,748
E01000920,Camden 027D,266,178,654,615,452
E01000921,Camden 003C,305,128,669,464,353
E01000922,Camden 007E,259,129,428,429,467
E01000923,Camden 003D,253,173,353,314,288
E01000924,Camden 009C,232,158,477,350,290
E01000925,Camden 009D,433,181,443,703,474
E01000926,Camden 009E,277,111,446,729,372
E01000927,Camden 007F,260,183,401,409,303
E01000928,Camden 003E,339,227,381,428,292
E01000929,Camden 020A,459,176,437,780,475
