,id,name,lat,long,nbBikes,nbEmptyDocks,nbDocks,Count
0,1,"River Street , Clerkenwell",51.52916347,-0.109970527,6,12,19,6885
1,2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,16,20,37,18421
2,3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,9,23,32,7258
3,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,5,17,23,7287
4,5,"Sedding Street, Sloane Square",51.49313,-0.156876,22,5,27,22764
5,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,1,16,18,15141
6,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,4,12,16,9693
7,8,"Maida Vale, Maida Vale",51.529857,-0.18348604,16,21,39,19720
8,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,18,1,19,10917
9,10,"Park Street, Bankside",51.50597426,-0.092754157,18,0,18,8578
10,11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24,0,24,15151
11,12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,3,45,49,17090
12,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,11,10,21,8195
13,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,39,6,48,37902
14,15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,13,12,26,11899
15,16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,1,19,21,9102
16,17,"Hatton Wall, Holborn",51.5216612,-0.109006325,4,21,25,17969
17,18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,20,7,27,23818
18,19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,2,26,30,12377
19,20,"Drummond Street , Euston",51.527326,-0.13605286,11,17,28,5682
20,21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806212,8,18,26,0
21,22,"Northington Street , Holborn",51.5222641,-0.114079481,5,13,19,13812
22,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,6,9,16,6999
23,24,"British Museum, Bloomsbury",51.51908011,-0.124678402,21,12,35,15554
24,25,"Doric Way , Somers Town",51.5288338,-0.132250369,23,24,50,13446
25,26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,3,18,21,9279
26,27,"Bouverie Street, Temple",51.51382102,-0.107927706,0,33,33,9135
27,28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,2,16,19,16364
28,29,"Hereford Road, Bayswater",51.513735,-0.193487,7,14,22,13725
29,30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,12,11,24,11580
30,31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,10,26,36,15868
31,32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,11,32,43,20588
32,33,"Central House, Aldgate",51.515231,-0.07015,6,12,18,16433
33,34,"Pancras Road, King's Cross",51.5341235,-0.129386874,8,7,16,8227
34,36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,2,26,28,16647
35,37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,3,14,17,15888
36,38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,7,10,17,9001
37,39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,5,36,41,27360
38,40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,13,3,16,11292
39,41,"Pindar Street, Liverpool Street",51.520955,-0.083493552,9,15,24,7510
40,42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,11,16,28,14532
41,43,"Crawford Street, Marylebone",51.52026,-0.157183945,2,15,18,15828
42,44,"Bruton Street, Mayfair",51.51073687,-0.144165239,7,14,21,8096
43,45,"Boston Place, Marylebone",51.522511,-0.162298,22,2,26,17140
44,46,"Nesham Street, Wapping",51.507131,-0.06691,5,3,16,20787
45,47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,8,9,19,17625
46,48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,0,24,25,13065
47,49,"Curzon Street, Mayfair",51.50706909,-0.145904427,3,12,16,10186
48,50,"East Road, Hoxton",51.52867339,-0.087459376,11,16,27,10224
49,51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,17,12,29,8476
50,52,"Roscoe Street, St. Luke's",51.52295439,-0.094934859,5,13,18,13883
51,53,"Grafton Street, Mayfair",51.5099923,-0.143495266,1,17,18,6551
52,54,"Golden Lane, Barbican",51.52174785,-0.094475072,9,17,27,7302
53,55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,20,13,33,22093
54,56,"Paddington Street, Marylebone",51.52058381,-0.154701411,6,10,16,15107
55,57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,8,23,32,16163
56,58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,12,8,20,12990
57,60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,16,0,18,6212
58,61,"Great Dover Street, The Borough",51.49738251,-0.089446947,16,17,33,13950
59,62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,5,19,24,7850
60,63,"Murray Grove , Hoxton",51.53089041,-0.089782579,27,0,27,11340
61,64,"William IV Street, Strand",51.50946212,-0.124749274,24,0,26,21222
62,66,"Holborn Circus, Holborn",51.51795029,-0.108657431,33,5,40,17603
63,67,"Hatton Garden, Holborn",51.51882555,-0.108028472,21,6,28,11376
64,68,"Theobald's Road , Holborn",51.52059681,-0.116688468,13,13,26,14617
65,69,"Euston Road, Euston",51.5262363,-0.134407652,11,12,24,10324
